trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
423,False,"{'a': 0.002, 'e': 0.6644789216087912}",30,0,-129.8226812568496,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
424,False,"{'a': 0.002, 'e': 0.6629829796337648}",30,0,-67.48111874509999,"{0: 24, 1: 1, 2: 1, 3: 4, 4: 0}",0
425,False,"{'a': 0.002, 'e': 0.661484385727704}",25,8,-37.32015969033406,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 0}",1
426,False,"{'a': 0.002, 'e': 0.6599831458849822}",20,12,-52.45335002203165,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
427,False,"{'a': 0.002, 'e': 0.6584792661105568}",35,0,-169.08463386359293,"{0: 23, 1: 4, 2: 4, 3: 1, 4: 3}",0
428,False,"{'a': 0.002, 'e': 0.656972752419945}",20,0,-85.27593077828841,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
429,False,"{'a': 0.002, 'e': 0.6554636108391995}",30,12,-66.70415409079294,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 0}",1
430,False,"{'a': 0.002, 'e': 0.6539518474048844}",20,10,-17.047710578493618,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
431,False,"{'a': 0.002, 'e': 0.6524374681640519}",35,21,7.948523859809232,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
432,False,"{'a': 0.002, 'e': 0.6509204791742165}",25,10,-94.27835169773078,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
433,False,"{'a': 0.002, 'e': 0.6494008865033323}",20,0,-4.66923688520143,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
434,False,"{'a': 0.002, 'e': 0.647878696229768}",25,0,-91.36946898644479,"{0: 12, 1: 10, 2: 2, 3: 0, 4: 1}",0
435,False,"{'a': 0.002, 'e': 0.6463539144422825}",20,9,-51.337184995005664,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
436,False,"{'a': 0.002, 'e': 0.6448265472400012}",25,0,-72.7236894224481,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
437,False,"{'a': 0.002, 'e': 0.6432966007323906}",20,0,-53.62252956507085,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
438,False,"{'a': 0.002, 'e': 0.6417640810392349}",20,0,-74.51316616273618,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
